LSE/EGS,"EG SOLUTIONS share price (EGS), Currency GBX"
LSE/EDR,"EGDON RESOURCES share price (EDR), Currency GBX"
LSE/EKF,"EKF DIAGNOSTICS share price (EKF), Currency GBX"
LSE/ELA,"ELAND OIL & GAS share price (ELA), Currency GBX"
LSE/EDP,"ELEC.DATA PROC. share price (EDP), Currency GBX"
LSE/ELCO,"ELECOSOFT share price (ELCO), Currency GBX"
LSE/ELE,"ELECTRIC WORD share price (ELE), Currency GBX"
LSE/ECM,"ELECTROCOMPS. share price (ECM), Currency GBX"
LSE/EKT,"ELEKTRON share price (EKT), Currency GBX"
LSE/ELM,"ELEMENTIS share price (ELM), Currency GBX"
LSE/BLZ,B.S.D CROWN DI share price (BSD) (BLZ)
LSE/EMED,EMED MINING PUBLIC LD (EMED)
LSE/EMIS,"EMIS share price (EMIS), Currency GBX"
LSE/EMT,Emmit Plc (EMT)
LSE/EMR,"EMPRESARIA share price (EMR), Currency GBX"
LSE/EME,"EMPYREAN share price (EME), Currency GBX"
LSE/EIT,ENABLES IT GROUP PLC (EIT)
LSE/ENEG,NU-OIL & GAS share price (NUOG) (ENEG)
LSE/ENGI,"ENERGISER share price (ENGI), Currency GBX"
LSE/EAS,"ENERGY ASSETS share price (EAS), Currency GBX"
LSE/ETQ,ENERGY TECH. share price (ETQ) (ETQ)
LSE/EXXI,Energy Xxi Ltd Com Shs Usd0.005 (di) (EXXI)
LSE/ENV,Enova Systems Inc Com Shs Npv (ENV)
LSE/ENQ,"ENQUEST share price (ENQ), Currency GBX"
LSE/ESR,"ENSOR HLDGS share price (ESR), Currency GBX"
LSE/ETO,"ENT. ONE DI share price (ETO), Currency GBX"
LSE/ETI,"EI GRP PLC share price (EIG), Currency GBX"
LSE/NTQ,"ENTEQ UPSTREAM share price (NTQ), Currency GBX"
LSE/ENRT,"ENVIRON.RECYCLE share price (ENRT), Currency GBX"
LSE/EHP,"EPISTEM share price (EHP), Currency GBX"
LSE/PAL,"EQUAT PALM OIL share price (PAL), Currency GBX"
LSE/ERE,Eredene Capital Plc (ERE)
LSE/ESSR,Essar Energy Plc (ESSR)
LSE/ESS,ESSENDEN PLC (ESS)
LSE/ESNT,"ESSENTRA share price (ESNT), Currency GBX"
LSE/ESUR,"ESURE share price (ESUR), Currency GBX"
LSE/EUSP,"EU SUPPLY share price (EUSP), Currency GBX"
LSE/EUA,"EURASIA MINING share price (EUA), Currency GBX"
LSE/EIIB,RASMALA share price (RMA) (EIIB)
